CLIENT_ID,CAR_ID,RESERVATION_DATE,START_DATE,RETURN_DATE,RESERVATION_ID
9459,653,1996-10-17,2009-08-21,2018-01-11,88
16602,1170,2007-04-21,1990-04-09,2015-08-03,89
1534,1205,2016-11-17,2014-08-15,1992-10-12,90
3470,1765,1980-01-03,1973-12-06,1986-08-01,91
12084,1340,2009-12-31,2014-07-12,2016-01-04,92
9524,98,2004-01-14,2001-09-01,1995-11-06,93
14887,1788,1980-12-23,1996-12-29,1992-02-11,94
1939,137,2012-01-18,1984-11-20,2002-10-30,95
15294,196,2006-04-10,1975-09-22,2007-02-08,96
1786,1373,2019-10-07,2017-08-05,2011-10-28,97
14546,1329,2005-08-29,2006-04-01,1980-08-11,98
15879,171,2013-02-18,1974-04-12,2008-03-11,99
13805,1559,1972-10-11,1982-04-14,1995-02-01,100
7683,1943,1974-08-22,2014-09-15,1999-10-12,101
8056,1890,1980-07-23,2018-03-22,2015-05-13,102
3968,1439,2010-01-27,2011-01-21,1987-05-12,103
5821,1605,2017-04-21,2019-03-14,1987-08-06,104
19943,75,2001-07-02,2001-09-19,1990-01-26,105
18704,1485,1976-12-06,1983-06-23,2017-08-30,106
17575,1929,1981-01-07,1999-05-19,2015-01-04,107
2880,1515,1994-11-19,2015-03-26,1978-01-14,108
2922,1813,1993-09-14,2005-07-29,1981-01-09,109
19768,1292,2015-04-19,1978-04-24,1992-05-17,110
14558,1510,1977-12-05,1979-04-17,1994-12-28,111
1660,1902,1978-01-15,1997-01-26,2004-09-23,112
9199,1271,2009-08-15,1984-02-18,2002-03-14,113
2571,1661,1974-09-22,1984-05-30,1978-05-11,114
8600,1717,1972-08-16,2011-08-20,1996-02-28,115
4420,645,2008-07-17,1998-05-14,2007-02-24,116
19977,1273,1996-09-27,2005-07-12,1977-05-09,117
17496,208,2000-08-11,1976-02-23,1987-05-15,118
16538,1042,1997-09-22,2014-02-01,1975-08-30,119
17207,685,1994-02-05,1985-10-04,1991-12-19,120
2893,1214,1977-08-07,2015-02-09,1976-03-01,121
18881,1685,1989-09-16,2011-06-26,1977-05-07,122
16529,1485,1977-06-02,1979-04-17,2009-11-30,123
16606,1128,2012-09-12,1989-12-15,1978-09-06,124
11445,407,2020-09-08,1986-10-06,2019-06-18,125
14024,1662,2007-05-05,1978-12-18,1977-11-21,126
2578,1836,1983-05-18,1992-10-30,2015-11-20,127
8583,1348,1973-02-15,1995-04-10,2018-01-20,128
16323,953,2008-06-07,1989-11-02,1984-12-09,129
14459,1595,2011-04-22,2009-08-17,1994-08-27,130
16919,1997,2005-05-14,2002-10-19,1999-08-18,131
6241,1333,2016-03-03,2008-09-05,2017-08-12,132
684,688,2013-09-17,2003-05-30,2006-04-08,133
8276,288,2008-11-17,2020-08-03,1988-07-24,134
3591,808,2005-03-19,1991-12-27,1993-10-04,135
16027,754,1976-10-20,2002-12-28,1984-07-07,136
9936,938,1993-07-09,2000-10-26,1975-09-20,137
8356,377,1979-08-06,2000-02-06,2011-02-18,138
2664,1344,2008-05-05,2015-07-13,1974-03-19,139
10130,1295,2007-07-23,1976-02-03,1982-10-04,140
19943,117,1975-01-28,1997-08-14,1975-06-02,141
18928,1210,1983-08-27,1992-10-01,1986-01-12,142
8194,1485,2010-12-12,1996-11-08,1983-12-27,143
1387,505,1979-02-21,1984-06-04,1989-06-22,144
17227,1725,1973-02-09,1997-02-26,2009-12-05,145
19642,524,1991-08-16,1986-07-02,2000-08-21,146
10011,1082,2013-12-22,2010-06-01,2014-04-14,147
18394,748,1992-05-21,1980-12-04,1996-11-05,148
14408,1374,2003-02-23,2007-11-29,1999-10-02,149
9463,1255,1973-08-26,2008-06-25,1998-12-17,150
12844,1582,1977-04-27,2006-10-26,1984-09-05,151
7352,505,1982-10-11,2014-11-11,1995-12-06,152
10665,1465,1998-12-11,1984-09-17,1981-10-09,153
3577,705,2000-10-18,1986-02-07,1973-11-20,154
4332,1231,1981-09-03,1993-08-29,2021-05-10,155
14782,1888,2000-04-29,1977-06-18,1981-07-09,156
19270,1911,2017-11-19,1973-09-16,2000-09-11,157
15816,1681,1987-04-29,1986-07-27,1973-04-28,158
15661,1110,2017-03-28,2011-03-03,1978-12-18,159
14455,504,1978-10-31,1986-10-15,1996-03-13,160
5629,565,2014-10-22,2009-04-26,1996-12-29,161
18053,1829,2003-07-27,1988-05-14,1972-08-26,162
12602,226,1978-10-19,1997-05-17,1978-06-11,163
14922,1883,1980-05-23,1977-05-12,1992-04-27,164
5682,483,2010-08-24,1978-05-04,2013-10-17,165
10893,1617,1975-08-13,1974-02-18,1975-11-23,166
12723,1838,1996-04-07,1994-09-14,1978-11-16,167
107,134,1997-09-27,1984-11-05,2019-06-09,168
11784,1001,2005-06-01,1990-09-27,1991-11-15,169
16708,542,1990-08-26,1977-08-03,2009-05-09,170
17242,1934,1998-09-27,1987-02-06,2013-05-13,171
11347,1997,2012-06-28,2017-02-13,2019-01-06,172
16812,548,2017-08-12,1977-05-16,1991-10-16,173
6552,476,2002-09-11,1983-01-28,1973-09-24,174
2940,101,2019-08-21,2017-06-07,2011-06-08,175
8547,957,1984-03-05,2000-03-01,1998-04-09,176
3977,1535,1977-10-12,1982-02-03,1998-03-18,177
6291,84,2015-09-18,1975-06-09,2013-03-13,178
14092,1564,1998-10-15,2017-03-20,2004-10-02,179
1076,960,1992-11-26,2011-08-16,1987-03-29,180
5989,772,2019-02-03,1975-10-14,1984-11-23,181
11197,145,1987-05-11,1984-10-06,1996-05-13,182
8826,1574,1987-01-04,1994-11-28,1993-06-25,183
4923,1779,1972-10-20,1991-05-04,2016-09-07,184
14848,320,1981-09-05,2022-01-07,1995-06-27,185
5659,1273,2020-09-08,1995-02-05,2010-02-08,186
9446,1109,1975-12-15,1973-11-18,2002-02-23,187
6413,1655,1981-09-01,2000-08-20,1988-07-12,188
5939,1388,2005-11-26,1972-10-23,2005-12-12,189
9098,1800,1991-05-01,2012-04-06,2016-02-21,190
19118,1207,2004-12-23,1990-07-19,1998-09-20,191
15168,607,2008-03-02,1998-03-20,2017-02-27,192
18069,170,1981-01-18,1975-01-15,1978-07-30,193
3415,488,1978-08-11,2008-01-03,2007-01-08,194
16866,1691,1985-01-20,1980-06-08,2009-05-03,195
13862,1354,1977-05-27,1974-10-12,2006-01-29,196
14375,1040,1978-11-22,2011-01-14,1999-02-24,197
7788,95,2015-08-25,2001-12-31,1973-05-29,198
17172,16,1985-06-28,2004-01-24,1986-01-09,199
4864,389,1984-06-18,1975-08-18,2003-10-18,200
1166,244,1978-01-12,2009-01-07,1991-02-05,201
5380,1474,2000-04-02,1978-06-05,1998-12-05,202
13641,1788,1984-01-23,2021-02-14,2021-08-15,203
3708,1458,2012-05-18,2020-01-27,1987-11-20,204
3038,1446,2014-12-17,2004-05-07,2015-04-03,205
885,1571,1975-07-21,2006-03-30,1973-09-04,206
3410,1848,1983-12-31,1973-09-16,2005-08-16,207
16702,635,2009-12-07,1988-03-18,2001-11-04,208
1987,1873,1993-05-13,1977-08-04,1990-11-03,209
7759,1412,1985-01-29,2011-05-24,1982-05-24,210
15142,946,1998-02-28,1978-08-30,2009-09-06,211
8411,330,1992-03-06,2009-10-18,1977-12-16,212
4564,1289,2013-02-13,2007-06-29,1982-10-04,213
7591,1839,1998-09-17,1997-01-19,2016-10-02,214
6168,822,2019-09-15,1974-11-21,1989-04-07,215
19250,1475,1982-09-28,1983-12-15,2015-10-01,216
19442,518,1993-09-22,1981-12-15,2015-09-03,217
9637,499,2005-10-06,1987-12-25,1983-10-20,218
10876,1589,1982-05-11,2003-08-31,1982-05-03,219
2951,254,1982-11-15,1978-05-27,1991-02-03,220
13660,194,1999-11-01,1984-01-13,2019-09-11,221
11077,1332,2010-03-01,2017-10-27,2016-01-17,222
3006,1376,1992-10-11,1974-03-16,1978-01-25,223
7387,1082,1988-03-28,1985-06-08,1980-11-07,224
3745,617,1994-10-08,2019-12-13,1988-05-02,225
10189,654,2021-07-04,1974-07-25,2021-04-14,226
8216,1138,1981-11-01,1973-02-18,1979-01-12,227
18897,1858,2021-09-16,1982-05-29,2017-08-13,228
19184,1277,2020-11-15,1987-09-20,1994-09-07,229
2360,818,1983-06-20,2014-04-05,1993-07-17,230
4204,352,2015-05-30,1989-05-09,2015-12-29,231
19827,1864,1985-10-30,1991-04-10,1991-12-02,232
9609,1564,1980-05-22,1994-08-10,1978-04-02,233
1240,862,2015-07-16,2004-03-21,1972-06-30,234
6719,1019,1975-01-09,1983-02-14,2002-08-24,235
4375,738,2013-07-03,2021-03-16,2012-07-14,236
14857,101,1996-10-01,2021-11-26,1976-10-19,237
4279,1081,2002-02-12,1988-04-30,1987-10-18,238
17527,437,2020-07-04,2018-08-11,1987-09-28,239
13802,606,2009-10-20,1998-09-09,1981-02-05,240
19429,1665,1982-02-18,1983-06-10,1998-03-10,241
17504,1360,1986-06-30,2006-11-11,1987-01-01,242
8274,417,2000-05-10,1979-11-13,2018-09-08,243
9672,932,2014-12-15,2009-12-16,1976-12-22,244
4949,129,1989-06-24,1993-12-10,1982-09-12,245
6084,1885,2018-06-22,1993-11-12,1972-09-17,246
11694,195,2015-04-12,2008-07-23,1979-08-01,247
13782,373,1979-09-01,2010-06-12,1990-07-26,248
16507,363,2020-09-22,2009-02-02,1988-11-14,249
10520,1233,1972-12-27,2016-10-23,1974-12-19,250
18684,667,2021-08-03,2002-11-30,2009-05-19,251
8558,1944,1979-06-04,1979-01-31,2006-11-26,252
8924,443,2014-10-11,1990-11-11,1999-09-02,253
18638,1036,1995-07-10,1976-09-01,1984-04-14,254
19398,1170,1994-08-01,1976-08-03,1992-06-04,255
14240,289,2008-11-18,2006-08-14,1987-02-22,256
13473,342,2007-11-19,2017-08-27,2011-07-27,257
6189,320,1974-04-04,2006-05-10,2021-12-14,258
17548,1004,1991-01-19,2006-07-01,1980-12-27,259
15410,801,2013-07-03,1989-08-10,1985-10-28,260
15260,1733,1976-10-24,1978-11-22,2021-09-06,261
283,557,2004-04-27,1978-06-24,1974-07-04,262
2054,1253,1979-02-13,1988-02-01,2017-03-07,263
18810,309,1974-12-07,2006-05-21,1998-03-27,264
16441,618,1991-08-09,2003-01-16,1985-08-25,265
13910,1053,1983-10-08,1989-08-29,2012-12-12,266
3088,1683,1989-04-25,1992-04-22,2020-05-05,267
17864,1301,2007-02-14,2010-03-25,1987-05-16,268
16858,134,2022-03-02,1981-09-18,1995-03-27,269
6583,1352,1977-12-22,1990-07-18,1998-12-06,270
18156,1036,1988-06-05,1983-01-18,1975-02-05,271
12317,1281,2006-03-13,2013-02-08,1979-02-10,272
14509,709,1973-01-16,2019-05-01,1987-03-14,273
6410,721,1973-07-04,1980-06-09,2003-01-13,274
5548,416,2009-08-14,1999-05-05,1987-06-26,275
2975,1312,1976-07-06,2009-12-27,1977-01-06,276
19501,1589,2009-08-31,1997-03-30,2001-10-19,277
15340,1735,2003-03-26,2001-09-08,2021-06-12,278
11661,242,1981-03-03,2011-06-06,2020-03-21,279
13629,1493,2019-05-06,1986-08-17,1985-04-19,280
4047,763,1978-05-17,1985-12-19,1977-07-22,281
10131,1885,2020-08-15,2016-04-19,1998-07-06,282
6308,1796,2014-04-22,2007-07-19,2018-01-31,283
19852,789,2009-09-01,2008-08-12,2000-01-13,284
10110,1831,2001-01-02,1998-01-12,2011-02-04,285
10925,1633,2020-12-18,2020-01-22,1992-08-04,286
1113,1092,2008-03-14,2003-06-16,1977-12-21,287
19770,902,1976-06-29,2005-10-12,1977-11-26,288
7799,1636,1982-06-10,1983-11-02,2020-02-02,289
11286,1035,2001-01-04,1977-04-13,1991-02-09,290
16013,1251,1987-07-02,1985-07-02,2013-02-13,291
13742,602,2016-06-29,2021-03-30,2016-11-01,292
11689,1539,1984-06-14,1998-11-22,1973-05-10,293
6534,977,1979-06-02,1999-06-15,2013-11-19,294
675,1627,2004-01-17,1995-10-25,1990-06-12,295
3806,1672,1985-01-26,1999-11-14,2007-11-07,296
12698,782,2014-08-10,2014-06-22,1983-07-13,297
9607,201,1997-10-18,2021-09-04,2012-07-19,298
13275,171,1988-12-28,2015-10-12,2018-04-12,299
9270,1910,2001-06-05,2008-09-30,2009-12-13,300
8416,503,1990-10-27,1998-12-07,1991-07-06,301
15683,1873,1994-06-12,1993-03-07,2008-07-31,302
19575,1952,1978-08-06,2006-02-04,2018-10-08,303
8695,90,2012-07-08,2012-03-11,1999-12-26,304
7423,555,2013-12-23,1978-06-20,2019-03-07,305
3446,1116,2016-08-02,2022-02-11,2011-06-08,306
12309,1154,2013-11-04,1988-07-09,2013-07-24,307
14343,1423,1973-05-04,1980-08-09,1997-11-13,308
4543,36,1992-09-09,1994-01-19,2000-12-29,309
15030,771,2018-11-19,1979-03-28,2016-08-05,310
14816,678,2016-12-10,2000-01-12,1987-07-26,311
14658,934,2012-06-12,2010-01-21,1992-12-02,312
5708,1565,2016-07-15,1988-10-08,1980-10-11,313
2342,48,2001-02-04,2006-04-17,1983-02-17,314
9,1553,2015-11-15,2020-01-20,2012-08-20,315
13708,1593,2018-02-06,1981-03-27,1985-04-16,316
5188,398,2009-11-07,1973-04-20,1988-11-20,317
13498,1244,2000-01-20,2012-09-29,1983-03-17,318
13723,689,2017-07-13,2001-06-29,2011-06-28,319
2022,859,1980-06-23,2005-05-09,2015-02-03,320
10800,154,1983-07-26,1986-04-05,2009-06-15,321
15216,19,1986-02-02,1993-01-08,1999-04-18,322
18875,695,1997-10-21,2003-09-14,2018-01-23,323
2331,162,2016-11-15,2017-12-28,2018-10-03,324
10336,94,1995-09-10,2002-10-08,2012-01-31,325
17786,382,2008-07-09,1979-05-26,2006-07-13,326
12404,694,2005-02-14,2002-01-13,2001-07-29,327
12472,989,2013-12-08,1999-11-30,2014-10-27,328
14328,1073,1989-01-31,1990-09-11,2011-05-06,329
16304,122,2014-09-22,2003-08-08,2006-10-17,330
11757,1694,2015-03-03,2004-07-05,2021-10-19,331
9284,1340,1972-08-06,2004-04-30,1985-11-17,332
9348,98,2007-11-05,1988-07-25,1995-01-01,333
1574,735,2014-12-11,2003-09-17,2006-07-10,334
1654,1729,2005-03-28,1993-05-07,1973-03-11,335
5337,232,1981-09-08,2007-12-02,2009-10-17,336
10976,1742,2014-08-20,2004-12-18,2019-01-21,337
7947,1358,1994-06-19,1986-09-13,2004-01-30,338
9083,1084,2005-02-16,2003-03-07,2013-04-23,339
5098,1291,2016-03-16,1973-02-23,1998-04-04,340
4464,789,2011-05-24,1981-03-10,1981-04-28,341
6257,4,2003-02-15,2003-01-11,1998-10-21,342
1018,1156,2013-02-24,1973-06-12,1993-03-06,343
9315,1373,1975-09-04,2000-09-02,1989-03-24,344
16541,90,1973-04-26,1975-08-24,1995-12-20,345
7442,970,1992-09-05,1973-04-14,2008-08-06,346
4311,829,1997-12-15,1981-09-01,2013-01-21,347
14252,1637,2022-01-10,1995-12-28,1978-01-24,348
16664,183,1997-03-26,2018-06-03,1994-09-16,349
9055,886,1993-07-07,2020-01-29,2014-10-14,350
11950,1477,1999-01-24,1974-06-22,2007-11-26,351
18851,497,2018-11-23,2011-04-09,1997-08-09,352
1273,40,2008-03-03,1987-09-10,1974-08-20,353
14498,1424,1993-09-10,2017-10-14,1973-10-01,354
4546,1127,2021-12-24,2016-02-28,1999-06-16,355
2534,1515,1988-05-04,1985-03-21,1978-01-11,356
19721,1045,1988-04-29,1997-07-05,2008-01-13,357
8493,731,2010-07-11,2003-05-22,1995-05-30,358
15965,1209,1981-05-20,1991-02-28,1974-11-25,359
13104,1632,2001-12-03,1989-02-14,2010-01-15,360
5388,1461,1983-08-02,1978-03-06,2003-09-25,361
10971,1439,1981-09-03,2009-11-10,2013-07-26,362
15854,1720,1984-04-07,1978-04-19,2022-05-01,363
8429,624,2011-09-18,1990-03-12,1998-02-17,364
1189,988,1975-11-23,1985-05-05,1973-04-28,365
7586,1854,2000-02-15,2013-05-20,2007-11-27,366
4444,1044,1980-04-06,1988-01-10,2013-09-19,367
14816,477,1983-07-27,1976-05-31,1995-02-25,368
17857,714,2014-12-18,2019-04-26,1990-03-12,369
17244,475,2021-05-07,1986-09-12,1984-05-28,370
18405,1134,2003-08-19,1976-02-02,1996-11-15,371
19971,1217,2001-08-17,1990-07-16,1974-06-04,372
7871,985,1982-10-24,1990-08-13,2012-03-30,373
12549,1556,1987-12-04,2010-05-01,1977-02-10,374
10237,1957,2015-10-01,1974-10-23,1996-02-13,375
17147,1243,1995-08-04,1984-04-08,2006-02-12,376
8183,800,2002-09-13,1999-08-20,2021-03-08,377
8235,540,1997-01-18,2000-10-12,1980-05-25,378
18298,764,1987-08-07,2005-12-24,1999-11-21,379
13467,1948,1976-06-30,1995-12-18,2013-02-23,380
12190,1561,1982-01-30,2014-06-24,1976-02-16,381
4936,175,2005-12-23,1975-05-10,1993-10-01,382
8446,1247,2009-12-20,2007-10-25,1991-05-18,383
987,1797,1993-05-03,2021-06-27,1976-01-03,384
17116,206,1982-12-02,2006-08-29,2020-08-10,385
12938,1474,1980-02-19,2001-03-16,2012-12-17,386
1349,795,1984-06-05,1992-04-30,2014-03-16,387
10207,1810,2016-01-16,1976-05-12,1991-04-07,388
6407,1806,1988-05-22,1989-12-14,2004-05-13,389
353,1781,1999-03-17,1975-04-26,1999-03-09,390
10979,975,1992-01-16,2016-07-15,1986-06-22,391
2819,1268,1990-10-16,2016-07-28,2018-02-24,392
4421,1651,1987-12-25,1991-06-27,1998-05-29,393
16933,631,1997-08-13,1973-05-21,1977-07-26,394
10085,905,2018-03-12,2020-05-20,1972-10-23,395
1282,462,1999-03-24,1975-04-30,2015-10-02,396
14560,476,1997-05-09,1982-07-07,1984-07-31,397
7477,1179,1990-09-10,1999-06-19,1980-10-08,398
4297,145,2007-08-01,2011-10-04,2021-08-19,399
18966,1092,1998-04-07,1976-12-05,1985-10-03,400
6931,1222,2019-12-08,2002-03-11,1991-07-10,401
10573,61,1996-06-28,1973-12-31,1986-07-27,402
10542,951,1988-01-14,2008-07-31,1989-03-11,403
8835,648,2014-03-28,2016-05-06,1982-07-23,404
18049,1863,2007-12-22,1981-10-27,2017-08-08,405
7487,186,2005-03-12,1980-07-08,1996-07-28,406
16440,1853,1984-01-30,1998-06-22,2013-03-01,407
2831,734,2014-04-16,1994-09-03,2009-01-15,408
3984,199,1980-06-26,2005-10-15,2001-07-10,409
17680,998,2005-12-13,1993-04-23,2013-08-11,410
16234,804,2019-02-20,2002-03-07,2016-10-19,411
10012,353,1995-07-12,2022-05-05,1983-05-02,412
2557,344,2008-01-20,2009-04-04,2013-03-13,413
17328,656,1995-02-23,2021-10-15,1983-03-29,414
7916,40,1987-02-06,1979-01-27,1972-09-27,415
16373,448,2010-10-13,1999-07-18,2000-02-21,416
9436,1715,1977-10-19,1991-06-09,1994-01-12,417
15307,1973,1993-10-22,2012-08-25,1983-01-22,418
2470,1138,1983-10-25,1984-03-29,2009-03-03,419
6432,288,1989-11-13,2004-08-03,2015-11-28,420
13690,356,1980-07-16,2006-06-17,2013-12-28,421
6322,1157,2011-07-19,1975-02-09,2007-02-01,422
8196,1561,1990-10-16,2020-01-05,2004-10-16,423
6452,858,1976-01-30,1975-06-12,1977-06-30,424
7006,1062,2016-06-26,1994-08-08,2013-10-24,425
3989,1975,1994-08-19,2003-05-15,2010-04-24,426
9271,1754,2006-04-08,1983-01-26,1983-02-27,427
17994,1149,1987-03-03,1980-06-21,1984-11-21,428
1692,1979,1992-11-15,1990-03-10,1984-02-13,429
11793,1186,2004-04-10,1988-06-06,1997-04-15,430
7360,874,1992-12-28,2004-12-11,1980-10-06,431
18920,1632,2008-02-03,2014-12-27,1981-02-13,432
5508,1702,2017-12-21,2009-10-10,2021-03-18,433
641,1647,2005-04-23,1995-10-21,1984-09-27,434
7096,1067,2006-02-07,2005-03-31,1996-02-04,435
2430,533,2019-07-15,2000-12-23,2002-07-28,436
6909,771,2011-11-19,1984-02-29,2014-04-10,437
11380,1887,2012-02-20,1977-01-16,2009-07-02,438
15663,242,1974-09-27,1995-02-23,2020-01-14,439
11711,573,1986-09-26,1977-08-09,1976-09-29,440
7080,1758,2018-07-04,2019-05-21,1988-05-09,441
6235,628,1996-08-05,2018-08-04,1995-10-01,442
4923,10,1988-06-08,1998-05-21,2022-05-01,443
6333,1442,1982-02-09,2000-09-09,2009-07-06,444
19213,1835,1985-05-29,2008-05-27,2008-09-02,445
4546,1436,1993-08-05,2000-09-10,1975-06-11,446
10882,1312,2021-05-19,1988-10-22,1974-11-22,447
7399,594,1985-06-12,2020-12-02,1999-03-02,448
2995,612,2010-03-12,1985-02-16,1989-09-02,449
12457,1097,2013-03-19,1975-05-02,2011-12-30,450
13205,476,1983-03-02,1993-01-26,2020-03-27,451
4312,926,1983-08-25,1990-05-10,1975-02-09,452
5999,1187,2017-03-12,1990-06-18,2018-01-13,453
19091,1365,2005-12-26,1986-06-08,1982-08-29,454
6727,1078,2016-05-29,1993-11-10,2001-07-12,455
1328,566,1990-02-04,1973-11-30,1977-06-09,456
4480,1892,1999-12-01,1990-12-08,1986-12-19,457
19035,87,2015-06-22,1998-10-27,1988-03-01,458
8801,601,1983-02-21,1982-12-02,1988-03-25,459
7275,1203,1980-11-06,1995-04-19,1972-06-20,460
3837,1345,1995-09-29,2012-06-12,1982-04-18,461
18333,1145,1983-07-10,2008-06-02,1994-08-10,462
7913,1519,2019-03-23,2004-11-23,2022-03-03,463
7832,530,2000-12-31,1998-02-18,1976-02-01,464
1643,431,2001-10-16,1979-10-04,1981-07-21,465
19758,1744,2018-07-15,2001-06-16,1978-07-02,466
4434,654,2021-04-16,2008-12-29,1993-04-07,467
2906,951,1980-04-09,1977-03-29,2007-03-11,468
4960,1431,1980-02-17,1976-04-08,2009-02-08,469
2257,1269,2004-06-10,1987-09-30,1977-11-25,470
9202,174,2018-01-20,1993-05-24,2004-05-20,471
13130,953,2007-11-26,2017-06-03,2006-09-10,472
10541,371,1987-02-04,2020-04-28,2000-09-19,473
19884,395,1991-12-18,1975-04-30,1972-12-02,474
13978,198,1998-02-20,2001-11-07,1980-06-18,475
11342,1041,1998-04-24,2000-07-19,1995-03-30,476
9075,1404,1982-06-25,1972-12-03,1989-08-25,477
1758,223,1978-11-23,1995-06-04,2016-12-12,478
14447,1089,2015-04-06,1997-08-08,1973-08-17,479
17311,876,1997-01-18,1994-08-31,1980-06-25,480
11138,960,1978-02-04,2015-11-21,1986-08-28,481
18357,1380,2013-05-14,1978-08-27,2012-04-08,482
1080,1407,2003-06-02,2013-06-06,1992-12-22,483
3284,415,2009-08-02,2014-03-10,2006-11-21,484
3105,65,1972-05-19,1995-07-19,2012-08-06,485
1326,1502,1991-12-16,1999-02-26,2012-07-20,486
3482,782,2000-08-03,1979-12-08,1981-05-03,487
